a,b,weight
T06554,T08201,6
T02545,T08201,8
Actinomycetes,T02133,3
Pseudomonadota,T02133,5
T02133,T06554,3
T02133,T06584,2
T00964,T06584,2
Micrococcales,Pseudomonadota,10
Micrococcales,T02545,10
Micrococcales,T04182,1
Micrococcales,T06794,7
T02545,T04182,2
T04182,T06794,2
Actinomycetes,T07354,2
Pseudomonadota,T07354,4
Actinomycetota,Bacteroidales,3
Actinomycetota,Eubacteriales,1
Actinomycetota,T00577,1
Bacteroidales,Campylobacterales,4
Bacteroidales,Eubacteriales,6
Bacteroidales,T00577,2
Bacteroidales,T08201,12
Campylobacterales,Eubacteriales,1
Corynebacterium,Eubacteriales,2
Corynebacterium,T01461,2
Eubacteriales,T01461,9
Eubacteriales,T08201,2
T00577,T01461,2
T00577,T08201,1
T04481,T08201,1
Campylobacterales,Mycobacteriales,1
Campylobacterales,T02133,3
Campylobacterales,T02545,4
Campylobacterales,T05843,1
Mycobacteriales,Pseudomonadota,6
Mycobacteriales,T01461,1
Mycobacteriales,T02133,1
Mycobacteriales,T02545,4
Mycobacteriales,T05843,1
Mycobacteriales,T06554,1
Mycobacteriales,T08201,3
Pseudomonadota,T05843,2
T01461,T02133,1
T01461,T05843,2
T02133,T02545,2
T02133,T08201,2
T05843,T08201,1
Bacteroidales,Lactobacillus,1
Bacteroidales,T05143,3
Bifidobacterium,Eubacteriales,3
Bifidobacterium,T05143,2
Campylobacterales,Lactobacillus,2
Campylobacterales,T05143,1
Eubacteriales,Lactobacillus,1
Eubacteriales,T05143,2
Lactobacillus,T01461,1
Lactobacillus,T05143,1
Lactobacillus,T08201,3
T01461,T05143,4
T05143,T08201,3
Actinomycetes,T00122,2
Pseudomonadota,T00122,2
Bacillota,T08201,5
Campylobacter,T08201,5
Coriobacteriia,T08201,2
T02545,T06584,2
Actinomycetes,Campylobacter,5
Actinomycetes,T06794,2
Campylobacter,Pseudomonadota,10
Campylobacter,Staphylococcus,5
Campylobacter,T00122,1
Campylobacter,T06794,2
Staphylococcus,T00122,1
T00122,T06794,1
Corynebacterium,Micrococcales,1
Corynebacterium,Pseudomonadota,1
Corynebacterium,Staphylococcus,1
Micrococcales,Staphylococcus,1
Bacteroidales,Pseudomonadota,11
Bacteroidales,Staphylococcus,9
Bacteroidales,T05843,1
Bacteroidales,T06584,4
Bacteroidales,T07354,2
Campylobacter,Eubacteriales,1
Campylobacter,T05843,1
Campylobacter,T06584,2
Coriobacteriia,Eubacteriales,4
Coriobacteriia,Pseudomonadota,4
Coriobacteriia,T06584,1
Eubacteriales,Pseudomonadota,1
Eubacteriales,Staphylococcus,2
Eubacteriales,T06584,1
Staphylococcus,T01461,6
Staphylococcus,T05843,2
Staphylococcus,T07354,1
T01461,T07354,2
T05843,T06584,1
T05843,T07354,1
Campylobacterales,T06794,1
Micrococcales,T04453,1
Pseudomonadota,T08780,6
T02545,T04453,4
T04182,T08780,1
T04453,T06794,2
T06794,T08780,1
T00447,T01461,1
Bacteroidales,T00964,3
Campylobacter,T05143,1
Eubacteriales,T00964,5
Lactobacillus,T00964,3
T00964,T01461,8
T00964,T05143,1
T00964,T08201,3
Actinomycetes,Bacteroidales,5
Actinomycetes,T01461,2
Bacillota,Gammaproteobacteria,2
Bacteroides,Bifidobacterium,2
Bacteroides,Coriobacteriia,1
Bacteroides,T01461,3
Gammaproteobacteria,T01461,2
Campylobacterales,Coriobacteriia,1
Campylobacterales,T00964,1
Coriobacteriia,Lactobacillus,1
Coriobacteriia,T00964,6
Lactobacillus,Pseudomonadota,3
Lactobacillus,T04453,1
Pseudomonadota,T00964,6
T00964,T04453,5
Bacillota,T00984,4
Bacteroidales,T00984,6
T00984,T01461,4
T00984,T03770,2
T00984,T04453,4
T02505,T03770,1
T02505,T08201,1
T03770,T08201,3
Bifidobacterium,Micrococcaceae,1
Bacteroidales,Micrococcaceae,1
Campylobacter,T06523,1
Micrococcaceae,T01461,2
Pseudomonadota,T06523,5
T01461,T06523,2
Bacteroidales,Lachnospiraceae,4
Bifidobacterium,Lachnospiraceae,3
Bifidobacterium,T00964,3
Lachnospiraceae,T00964,1
Lachnospiraceae,T01461,5
Lachnospiraceae,T03770,2
T00964,T03770,1
Micrococcales,T08201,2
T06794,T08201,2
Actinomycetota,T04453,5
Actinomycetota,T05143,1
Pseudomonadota,T05143,3
T04453,T05143,4
T05143,T06584,3
Bacilli,T04182,2
Pseudomonadota,T08069,1
Staphylococcus,T08069,1
T04453,T08069,1
Micrococcales,T06554,1
Bacteroides,Pseudomonadota,2
Bacteroides,Staphylococcus,2
Pseudomonadota,T04481,1
Burkholderiales,Gammaproteobacteria,1
Burkholderiales,Micrococcaceae,2
Burkholderiales,T04721,1
Burkholderiales,T06794,2
Gammaproteobacteria,Micrococcaceae,1
Gammaproteobacteria,T04721,1
Gammaproteobacteria,T06794,1
Micrococcaceae,T04721,1
T04721,T06794,1
Burkholderiaceae,Staphylococcus,1
Coriobacteriia,Corynebacterium,2
Bacteroidales,T06085,2
Coriobacteriia,T06085,3
Eubacteriales,T04453,3
Eubacteriales,T06085,1
Staphylococcus,T00964,1
T00398,T06085,1
T00964,T02545,1
T00964,T06085,2
T01461,T06085,4
T02545,T06085,3
T04453,T06085,2
Micrococcaceae,Mycobacteriales,3
Micrococcaceae,T08201,1
T00577,T00984,1
Bifidobacterium,T06085,1
Bifidobacterium,Corynebacterium,1
Bifidobacterium,T04115,1
Coriobacteriia,T04115,1
Corynebacterium,T00964,1
Corynebacterium,T04115,1
Corynebacterium,T04453,1
Eubacteriales,T04115,1
T00964,T04115,1
T01461,T04115,1
T04115,T04453,1
Burkholderiales,T06554,3
T04115,T06554,1
Bacillota,T00577,1
Bacteroidales,Gammaproteobacteria,1
Gammaproteobacteria,T04453,1
T00577,T04453,1
Bacteroides,Campylobacterales,1
Bacteroides,Lachnospiraceae,1
Bacteroides,T04453,1
Bacteroides,T06584,1
Lachnospiraceae,Staphylococcus,1
Lachnospiraceae,T04453,3
Lachnospiraceae,T06584,4
Staphylococcus,T02133,2
T02133,T04453,2
Micrococcaceae,T04453,1
Mycobacteriales,Staphylococcus,1
Mycobacteriales,T04453,1
T04182,T04222,1
Comamonadaceae,T06085,1
Pseudomonadota,T04021,1
Pseudomonadota,T05201,1
T04021,T06523,1
T06523,T06584,1
Pseudomonadota,T00701,2
Staphylococcus,T00701,1
Micrococcaceae,T03970,1
Micrococcaceae,T08780,2
Pseudomonadota,T03970,1
T03970,T06554,1
T03970,T08780,1
T06554,T08780,2
Campylobacter,T07267,1
Mycobacteriales,T05143,1
T04453,T05843,1
T04453,T07267,4
T05143,T07267,1
T06584,T07267,4
Lactobacillus,Micrococcaceae,1
Bacillota,Staphylococcus,2
Bacilli,T00964,1
Coriobacteriia,Micrococcaceae,1
Micrococcaceae,T00964,1
T00447,T04453,1
Micrococcaceae,T07267,2
T08201,T08780,1
Actinomycetota,T00964,1
Bacteroidales,T00701,1
T00701,T01461,1
T00701,T04453,1
Campylobacter,T06554,2
Micrococcaceae,T06085,2
T06085,T06554,2
T06085,T07267,1
T03770,T06584,2
T00984,T07354,1
Actinomycetes,Burkholderiales,2
Burkholderiales,T04453,1
Burkholderiales,T08201,2
T02133,T04182,1
T04182,T06554,2
Bacteroidales,T07267,2
Bifidobacterium,T06584,2
Bifidobacterium,T07267,2
Lachnospiraceae,T05143,1
Lachnospiraceae,T07267,1
T01461,T07267,2
T03770,T07267,1
Comamonadaceae,T06554,1
Comamonadaceae,T08201,1
Actinomycetes,T00964,2
Burkholderiales,T00964,1
T00964,T04182,1
Bacillota,T06085,1
Bacteroidales,T06554,1
Coriobacteriia,T07267,1
Actinomycetota,Burkholderiales,1
Actinomycetota,T07267,1
Burkholderiales,T06584,1
